original_title,genre_ids,popularity,vote_average,vote_count,year
Remember Me,"[18, 10749]",11.453,7.1,2079,2010
127 Hours,"[12, 18, 53]",11.435,7.0,4469,2010
Scooby-Doo! Curse of the Lake Monster,"[9648, 14, 35, 12]",11.372,5.6,171,2010
Piranha 3D,"[35, 27]",11.302,5.3,1029,2010
Valhalla Rising,"[12, 18, 28, 14]",11.26,6.0,582,2010
Edge of Darkness,"[80, 18, 9648, 53]",11.252,6.3,794,2010
Les Aventures extraordinaires d'Adèle Blanc-Sec,"[14, 12, 28, 9648]",11.221,6.0,671,2010
Valentine's Day,"[35, 10749]",11.187,5.8,1907,2010
The Next Three Days,"[10749, 18, 53, 80]",11.147,7.0,1469,2010
Kung Fu Panda Holiday,"[16, 10751, 10770]",11.083,6.6,110,2010
Buried,"[18, 53, 9648]",10.888,6.6,1487,2010
乱,"[28, 18, 36]",10.885,8.1,600,1985
Operation: Endgame,"[12, 28, 35, 53]",10.799,4.9,88,2010
Gulliver's Travels,"[35, 12, 10751, 14]",10.768,5.1,1282,2010
Legend of the Guardians: The Owls of Ga'Hoole,"[16, 12, 10751, 14]",10.754,6.6,1223,2010
The Spy Next Door,"[28, 35, 10751]",10.746,5.7,650,2010
Jackass 3D,"[35, 99, 28]",10.715,6.3,655,2010
The Babysitters,[18],10.71,5.3,125,2008
Banlieue 13 - Ultimatum,"[28, 53, 80]",10.661,6.1,555,2010
[REC]²,"[53, 27]",10.66,6.5,920,2010
Open Season 3,"[12, 16, 10751, 35]",10.614,5.5,237,2010
Morning Glory,"[35, 18, 10749]",10.595,6.3,717,2010
Harry Brown,"[53, 80, 18, 28]",10.555,6.8,505,2010
Cats & Dogs: The Revenge of Kitty Galore,"[35, 10751, 28, 14]",10.544,4.9,273,2010
The Fighter,[18],10.395,7.3,2325,2010
9 Songs,"[18, 10402, 10749]",10.332,4.9,170,2004
The Tourist,"[28, 53, 10749]",10.307,6.1,3133,2010
The Cutting Edge: Fire & Ice,"[18, 10749]",10.303,6.0,63,2010
Forbidden Planet,[878],10.274,7.3,388,1956
Barbie in A Mermaid Tale,"[16, 10751, 14]",10.252,6.7,282,2010
葉問,"[18, 28, 36]",10.23,7.7,1906,2010
Killers,"[28, 35, 53, 10749]",10.221,5.8,1314,2010
You Again,"[35, 10749]",10.208,6.2,734,2010
Devil,"[27, 9648, 53]",10.203,5.9,1516,2010
The Losers,"[28, 12, 80, 9648, 53]",10.202,6.2,844,2010
Animal Kingdom,"[18, 53, 80, 9648]",10.188,6.8,399,2010
Wall Street: Money Never Sleeps,"[18, 80]",10.177,6.0,797,2010
Monsters,"[18, 53, 878]",10.175,6.2,848,2010
Hot Tub Time Machine,"[878, 35, 12]",10.15,6.0,1383,2010
A Matter of Loaf and Death,"[16, 35, 10751, 80, 9648]",10.1,7.2,219,2010
Love & Other Drugs,"[18, 35, 10749]",10.09,6.9,2509,2010
16 Wishes,"[14, 18, 10751]",10.068,5.9,688,2010
Never Let Me Go,"[18, 10749, 878]",10.012,6.8,1294,2010
It's Kind of a Funny Story,"[35, 18]",10.01,7.0,1324,2010
Eat Pray Love,[18],9.991,6.0,1208,2010
Sex and the City 2,"[35, 18, 10749]",9.986,5.9,809,2010
Four Lions,"[35, 80, 18]",9.968,7.0,621,2010
When in Rome,"[35, 14, 10749]",9.926,5.9,703,2010
The Bounty Hunter,"[28, 35, 18]",9.861,5.7,1627,2010
Winter's Bone,[18],9.824,6.9,931,2010
Waiting for Forever,"[18, 10749]",9.819,5.7,172,2010
My Soul to Take,"[18, 27, 9648, 53]",9.808,5.4,247,2010
A Nightmare on Elm Street,"[27, 9648, 53]",9.795,5.5,1408,2010
Flipped,"[10749, 18]",9.781,7.4,859,2010
Let Me In,"[18, 27, 9648]",9.716,6.7,1061,2010
Unthinkable,"[18, 53]",9.693,6.7,623,2010
Frozen,[53],9.678,5.8,987,2010
Smokin' Aces 2: Assassins' Ball,"[28, 35, 80, 53]",9.565,5.4,141,2010
Enter the Void,"[14, 18]",9.563,7.3,773,2010
Bereavement,"[80, 27]",9.55,5.3,71,2010
Inside Job,[99],9.514,7.8,466,2010
Mother's Day,"[80, 53]",9.496,6.4,193,2010
Carrie,"[27, 53]",9.467,7.1,1766,1976
Charlie St. Cloud,"[18, 10749]",9.454,6.9,1398,2010
Furry Vengeance,"[35, 10751]",9.45,4.6,283,2010
Casino Jack,"[80, 35, 18]",9.432,6.1,149,2010
Starstruck,"[35, 10749, 10770, 10402]",9.406,6.7,627,2010
Beauty & the Briefcase,"[10749, 35]",9.405,5.5,250,2010
After.Life,"[18, 27, 9648, 53]",9.395,5.7,416,2009
Another Year,"[35, 18]",9.394,7.0,150,2010
Letters to Juliet,"[35, 18, 10749]",9.394,6.9,1706,2010
Rabbit Hole,[18],9.389,6.8,292,2010
Wild Target,"[28, 35]",9.355,6.4,356,2010
The Last Exorcism,"[27, 18, 53]",9.35,5.6,519,2010
The Experiment,"[53, 18]",9.261,6.5,553,2010
Konferenz der Tiere,"[16, 10751, 35]",9.258,5.4,151,2010
Bitch Slap,"[18, 28, 35, 53, 80]",9.253,4.7,148,2010
L'arnacoeur,"[10749, 35]",9.241,6.6,761,2010
The Last Song,"[18, 10751, 10749]",9.237,7.2,2199,2010
Benvenuti al sud,[35],9.188,6.7,1071,2010
Tucker and Dale vs. Evil,"[35, 27]",9.159,7.3,1427,2010
Yogi Bear,"[35, 10751, 16, 12]",9.096,5.3,387,2010
The Disappearance of Alice Creed,"[80, 18, 53]",9.087,6.6,280,2010
You Don't Know Jack,[18],9.071,7.0,176,2010
Secretariat,[18],9.059,7.0,200,2010
The American,"[80, 18, 53]",9.042,5.8,690,2010
Blue Valentine,"[18, 10749]",8.994,6.9,1677,2010
Vampires Suck,"[35, 27]",8.992,4.1,658,2010
Incendies,"[18, 10752, 9648]",8.973,8.1,1034,2010
Takers,"[28, 80, 18, 53]",8.969,6.2,605,2010
"Family Guy Presents: Something, Something, Something, Dark Side","[16, 35, 878]",8.956,7.1,194,2010
Superman/Batman: Apocalypse,"[28, 12, 16, 10751, 878]",8.884,7.0,291,2010
Skyline,"[878, 28]",8.847,4.8,833,2010
Cop Out,"[28, 35, 80]",8.82,5.4,796,2010
Chloe,"[18, 53, 9648]",8.807,5.9,940,2010
Stake Land,"[18, 27, 878]",8.799,6.2,415,2010
Брестская крепость,"[10752, 18, 36, 28]",8.769,7.3,75,2010
Cave of Forgotten Dreams,"[99, 10751]",8.762,7.3,143,2010
The Descent: Part 2,"[12, 27, 53]",8.741,6.0,480,2010
Titanic II,"[28, 12, 53]",8.729,3.2,90,2010
Dante's Inferno: An Animated Epic,"[28, 12, 16, 27]",8.711,6.0,102,2010
L'Immortel,"[28, 80, 53]",8.697,6.5,508,2010
Exit Through the Gift Shop,[99],8.696,7.7,467,2010
Habitación en Roma,"[18, 10749]",8.682,6.1,236,2010
Burlesque,"[18, 10749]",8.676,7.1,1195,2010
Elektra Luxx,"[35, 18]",8.595,4.9,74,2010
冷たい熱帯魚,"[18, 53, 80]",8.582,6.6,113,2010
Wir sind die Nacht,"[14, 18, 27, 10749]",8.57,6.2,129,2010
Elena Undone,"[18, 10749]",8.531,7.2,81,2010
The Final,"[53, 27]",8.517,5.6,131,2010
Hatchet II,"[27, 35, 53]",8.513,5.5,160,2010
Louis C.K.: Hilarious,[35],8.504,8.0,127,2010
Ca$h,"[80, 53, 35, 9648]",8.503,5.8,112,2010
Marmaduke,"[10751, 35]",8.487,5.1,367,2010
Get Him to the Greek,[35],8.485,5.9,980,2010
Womb,"[10749, 878]",8.483,6.1,159,2010
London Boulevard,"[18, 80]",8.469,5.9,409,2010
Twelve,"[53, 18, 28, 80]",8.46,5.9,147,2010
レドライン,"[14, 18, 28, 53, 16]",8.436,7.4,110,2010
The Kids Are All Right,"[35, 18]",8.426,6.6,854,2010
BloodRayne: The Third Reich,"[28, 12, 14, 27]",8.419,3.7,83,2010
Peacock,"[9648, 53]",8.414,6.1,104,2010
Don't Be Afraid of the Dark,"[14, 27, 53]",8.405,5.5,550,2010
L'illusionniste,"[16, 18]",8.404,7.4,280,2010
Stone,"[18, 53]",8.401,5.2,334,2010
Welcome to the Rileys,[18],8.348,6.5,241,2010
Rubber,"[35, 18, 14, 27, 9648]",8.319,5.9,417,2010
Bunraku,"[53, 28, 18]",8.282,5.9,161,2010
Going the Distance,"[35, 18, 10749]",8.281,6.0,394,2010
Los ojos de Julia,"[27, 53]",8.268,6.7,415,2010
The Warrior's Way,"[12, 14, 28, 37, 53]",8.259,6.1,203,2010
Last Night,"[18, 10749]",8.244,6.1,444,2010
Get Low,"[35, 18, 9648]",8.215,6.7,135,2010
Mine vaganti,"[35, 18, 10749]",8.202,7.4,310,2010
The Runaways,"[18, 10402]",8.19,6.4,448,2010
Bloomington,"[18, 10749]",8.176,6.6,65,2010
Paranormal Activity 2,"[27, 53]",8.163,5.7,1342,2010
Tom and Jerry Meet Sherlock Holmes,"[12, 16, 10751, 35]",8.142,6.6,19,2010
L'Instinct de mort,"[18, 28, 53, 80]",8.131,7.4,434,2010
Mega Shark vs. Crocosaurus,"[28, 27, 878]",8.129,2.7,60,2010
Metropia,"[16, 18, 878, 53]",8.113,6.3,82,2010
The Company Men,[18],8.109,6.6,349,2010
Alpha and Omega,"[16, 10751, 35, 12, 10749]",8.108,5.4,227,2010
Avalon High,"[10770, 18, 10751, 14]",8.098,6.1,313,2010
30 Days of Night: Dark Days,"[27, 53]",8.086,4.7,218,2010
Minions: Orientation Day,"[16, 35, 10751]",8.053,6.9,117,2010
Planet Hulk,"[16, 28, 878]",8.053,6.7,185,2010
13,"[18, 53]",8.007,5.7,392,2010
Survival of the Dead,"[27, 878]",7.964,4.8,199,2010
La solitudine dei numeri primi,[18],7.959,5.8,218,2010
錦衣衛,"[18, 28, 53]",7.948,6.6,87,2010
Barbie: A Fashion Fairytale,"[10751, 16]",7.947,6.8,228,2010
Sharktopus,"[27, 35, 878, 53, 10770, 28]",7.943,4.4,69,2010
